,JN.1,JN.2,JN.3,KP.3,XBB.1.5
JN.1,1.0,8.672725792788272,8.672725792788272,11.241356612954021,19.595890452117477
JN.2,8.672725792788272,1.0,1.0,19.74668306392354,13.968328003722307
JN.3,8.672725792788272,1.0,1.0,19.74668306392354,13.968328003722307
KP.3,11.241356612954021,19.74668306392354,19.74668306392354,1.0,33.47153583857983
XBB.1.5,19.595890452117477,13.968328003722307,13.968328003722307,33.47153583857983,1.0
