,JN.1,JN.2,JN.3,KP.3,XBB.1.5
JN.1,1.0,1.0,1.0,46.59604150024271,224.41265303940085
JN.2,1.0,1.0,1.0,46.59604150024271,224.41265303940085
JN.3,1.0,1.0,1.0,46.59604150024271,224.41265303940085
KP.3,46.59604150024271,46.59604150024271,46.59604150024271,1.0,238.09232882934197
XBB.1.5,224.41265303940085,224.41265303940085,224.41265303940085,238.09232882934197,1.0
