,JN.1,JN.2,JN.3,KP.3,XBB.1.5
JN.1,1.0,1.0,1.0,2.7048067328758507,3.1970043746334196
JN.2,1.0,1.0,1.0,2.4612629138935866,3.231206245197393
JN.3,1.0,1.0,1.0,2.4612629138935866,3.231206245197393
KP.3,2.7048067328758507,2.4612629138935866,2.4612629138935866,1.0,3.920291545810894
XBB.1.5,3.1970043746334196,3.231206245197393,3.231206245197393,3.920291545810894,1.0
